
sentiment,content
worry,"@MelissaLynnette naw, it doesnt match up LOL and i have no shenanigans to discuss...  but i did do the thing..."
worry,"@mayora not this part, unfortunately."
worry,"@soverpeck dude, i didn't know it was a personal experience. sorry something like that went down"
worry,@A_Lay aww well I just randomly woke up and now I can't sleep! Too many things on my mind
worry,@donperignon me too baby... Miss you
neutral,"@ddlovato Since obviously living in Alaska, only a few radio stations we get here."
hate,i just murdered two fucking mouses!!! now i cant sleep
neutral,"Oh noes.  hey, what's my tatoo say?"
neutral,@astynes I don't have a VCR...
sadness,@hammett I wish I could have time for my xbox  project all tied
worry,all my pancakes always end up soggy.
worry,"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become."
hate,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
hate,"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead"
surprise,Wow. That hurt way worse than i thought it would.
worry,Why do none of my thoughts make sense when I'm sober?
neutral,@MsAKAtainment I know right  but hopefully something comes up though
worry,I cant to sleep and tomorrow i must wake up too early
worry,"@JustDes As it is now, my body has already developed a mind of it's own but that mind refuses to co-operate with set schedules"
neutral,@claudiuvoicu supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  &amp; want Bruno!
sadness,And trash repops.  Getting it tomorrow night I suppose.
worry,Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get
worry,"so bored, i have a headache."
neutral,Huge headache...goodnight!!
sadness,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
sadness,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
sadness,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
neutral,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
sadness,Missing Everyone
empty,"Should have gone to bed ages ago, damn you tedtalks!  Gotta get up early too"
neutral,its only 0.2! Just give me my 3 points!
hate,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times"
worry,another build failed! something is not right in the big scheme of things!
worry,"My wife took my last ï¿½20, no McDonalds breakfast for me today"
love,I wish I was going to we love sounds
sadness,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
worry,I keep on falling asleep when I'm suppose to be awake. I miss my babyy..
neutral,@ryanhalloran why not?
worry,On my way to nottingham..I so don't want to be going
surprise,No churchill downs for me tomorrow
neutral,to Chicago... but why isn't my ride calling me back?
neutral,"K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla"
worry,I need to wake up earlier so I'm actually tired enough to fall asleep
surprise,Bahh the police ended the party @ 5!!  Just when i was starting....
neutral,I've got to catch the bus to work
sadness,@wired that is so sad
surprise,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie
surprise,mannnn..... @alllyy_ got an iphone!!! im jealous....
love,@kirstiealley funny u havent showed me any love yet at all
neutral,@pegbanditkitty absolutely nothin
love,@AnnetteStatus I luv urs! admitting niley with a kiss (: but then they change their minds  haha &amp; demi/sterling (: not jemi but still cute
neutral,@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby
sadness,is still sick  sigh
worry,"@bethBABE4 Oh poor beths friend  i'm not naughty, i'm just unperfect."
surprise,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
sadness,i feel really weird
surprise,@future_perfect I'm trying to self learn photoshop but it's not going so well!
worry,@BrianLimond Ever seen the tv show Dead Like Me? I died and became a grim reaper. Taking people's souls after accidents
neutral,@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!
worry,Steam Punlk fashion show at Anime North and for the first year since TorCon we aren't back til @Anticipationsf &amp; missed it
sadness,my throat hurts  gonna go read and go to bed. text mee!
worry,I am dying to hangout on a Friday afternoon...
worry,Eh.. it's cold
neutral,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR
sadness,fjdskal im really frustrated.
neutral,"@regent_lord Aww, you should've YouTubed it."
sadness,Wondering how come mcdonalds take so long to deliver my food.
surprise,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
sadness,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
neutral,Will miss nostalgia ... everyone please kick tushar
sadness,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
worry,class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I'll forget -_-
sadness,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
worry,@keytar @badtwin BUT THEY ARE EXPENSIVE.
hate,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?"
neutral,says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj
neutral,says I've got number 10~  getting low~~ http://plurk.com/p/wxpdr
worry,Misses his twitastic fwiends
worry,@Deziree_Divine take my advice lookin through the phone cost me my relationship
fun,was playing street fighter IV and Seth Raped me
hate,Its weird being at the guy's house without them here. I don't like it
surprise,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
neutral,@summer_eyes I wish I knew!  The curse of Tumblr.
sadness,what a beautiful day - shame I've got to spend it in an office
